entity,year,black_carbon_emissions_from_industry
World,1750,8764.243
World,1751,8786.275
World,1752,8808.406
World,1753,8830.4375
World,1754,8852.567
World,1755,8874.698
World,1756,8913.981
World,1757,8936.111
World,1758,8958.241
World,1759,8980.371
World,1760,9002.404
World,1761,9050.574
World,1762,9073.261
World,1763,9095.947
World,1764,9118.633
World,1765,9141.318
World,1766,9197.919
World,1767,9220.6045
World,1768,9243.291
World,1769,9265.977
World,1770,9288.663
World,1771,9348.646
World,1772,9372.951
World,1773,9397.258
World,1774,9421.563
World,1775,9445.868
World,1776,9507.812
World,1777,9532.118
World,1778,9556.422
World,1779,9580.728
World,1780,9605.457
World,1781,9679.232
World,1782,9705.294
World,1783,9731.454
World,1784,9757.498
World,1785,9783.942
World,1786,9870.9795
World,1787,9897.136
World,1788,9923.26
World,1789,9949.412
World,1790,9975.585
World,1791,10063.857
World,1792,10111.989
World,1793,10140.945
World,1794,10167.75
World,1795,10196.376
World,1796,10254.273
World,1797,10313.363
World,1798,10368.803
World,1799,10433.576
World,1800,10514.438
World,1801,10565.76
World,1802,10962.138
World,1803,10752.342
World,1804,10810.295
World,1805,10876.462
World,1806,10967.903
World,1807,10996.798
World,1808,11054.067
World,1809,11090.419
World,1810,11153.519
World,1811,11270.666
World,1812,11353.668
World,1813,11413.749
World,1814,11497.368
World,1815,11581.415
World,1816,11680.112
World,1817,11746.728
World,1818,11816.785
World,1819,11866.206
World,1820,11930.393
World,1821,12019.387
World,1822,12140.991
World,1823,12306.41
World,1824,12455.278
World,1825,12546.595
World,1826,12625.43
World,1827,12786.373
World,1828,12862.389
World,1829,12955.777
World,1830,13747.312
World,1831,13674.684
World,1832,13837.647
World,1833,13952.444
World,1834,14057.468
World,1835,14209.69
World,1836,14705.817
World,1837,14798.917
World,1838,14972.265
World,1839,15202.554
World,1840,15478.274
World,1841,15659.308
World,1842,15933.434
World,1843,16159.035
World,1844,16535.145
World,1845,16984.012
World,1846,17322.95
World,1847,17863.729
World,1848,18126.627
World,1849,18481.693
World,1850,19065.184
World,1851,19277.459
World,1852,19695.602
World,1853,20106.336
World,1854,21231.16
World,1855,21460.445
World,1856,22227.074
World,1857,22615.785
World,1858,23286.744
World,1859,24289.594
World,1860,25459.691
World,1861,26098.854
World,1862,26610.312
World,1863,27581.375
World,1864,28695.434
World,1865,29837.898
World,1866,30666.88
World,1867,31724.033
World,1868,32464.588
World,1869,33829.555
World,1870,34807.945
World,1871,36726.88
World,1872,39215.793
World,1873,41095.293
World,1874,41225.3
World,1875,42903.58
World,1876,43421.938
World,1877,43895.492
World,1878,45188.254
World,1879,46903.418
World,1880,50900.902
World,1881,51900.68
World,1882,53838.31
World,1883,56516.01
World,1884,57119.816
World,1885,57539.91
World,1886,58042.562
World,1887,60051.395
World,1888,63732.785
World,1889,64756.01
World,1890,67885.3
World,1891,70065.72
World,1892,70203.516
World,1893,69187.836
World,1894,72250.875
World,1895,74926.54
World,1896,78010.95
World,1897,81589.9
World,1898,85727.55
World,1899,91916.695
World,1900,97159.83
World,1901,99922.48
World,1902,102178.55
World,1903,108833.695
World,1904,110654.76
World,1905,115425.85
World,1906,129303.5
World,1907,139501.38
World,1908,140143.28
World,1909,143012.62
World,1910,148096.97
World,1911,150777.19
World,1912,146290.97
World,1913,150209.72
World,1914,137263.36
World,1915,133567.95
World,1916,140377.05
World,1917,143095.84
World,1918,141531.81
World,1919,128413.164
World,1920,141327.81
World,1921,127519.07
World,1922,133411.05
World,1923,130668.805
World,1924,136518.52
World,1925,137785.44
World,1926,138157.8
World,1927,148327.38
World,1928,148883.28
World,1929,157081.94
World,1930,149187.56
World,1931,137111.89
World,1932,126536.03
World,1933,129721.555
World,1934,137480.5
World,1935,142112.73
World,1936,150746.66
World,1937,157123.67
World,1938,153984.08
World,1939,163154.33
World,1940,185219.36
World,1941,186436.75
World,1942,179911.9
World,1943,171308.34
World,1944,163350.02
World,1945,127628.05
World,1946,129894.74
World,1947,139512.61
World,1948,144161.7
World,1949,149798.48
World,1950,162012.17
World,1951,175654.2
World,1952,184380.2
World,1953,188276.31
World,1954,196391.12
World,1955,210544.4
World,1956,225434.08
World,1957,238982.31
World,1958,290794.38
World,1959,328806.88
World,1960,332920.7
World,1961,295244.2
World,1962,284489.62
World,1963,290079.16
World,1964,293890.44
World,1965,296244.94
World,1966,310868.84
World,1967,309031.12
World,1968,323366.78
World,1969,343380.6
World,1970,364613.78
World,1971,363972.88
World,1972,378223.3
World,1973,403425.4
World,1974,400440.84
World,1975,410002.7
World,1976,424280.16
World,1977,456977.1
World,1978,471462.53
World,1979,489002
World,1980,474884
World,1981,465499.8
World,1982,476186.62
World,1983,468833.06
World,1984,486695.1
World,1985,479004.38
World,1986,494257.25
World,1987,511164.62
World,1988,516114.5
World,1989,507899.75
World,1990,512081.06
World,1991,512240.34
World,1992,504535.06
World,1993,497026.78
World,1994,499517.34
World,1995,513933.47
World,1996,517030.4
World,1997,523763.84
World,1998,522141.25
World,1999,510624.88
World,2000,509338.62
World,2001,526087.25
World,2002,532444.5
World,2003,553332.8
World,2004,621343.8
World,2005,669964.3
World,2006,704713.2
World,2007,734083.2
World,2008,756390.9
World,2009,772893.9
World,2010,831552.7
World,2011,814246.56
World,2012,814544.2
World,2013,809088.44
World,2014,798417.75
World,2015,779207.1
World,2016,707153.1
World,2017,674624.8
World,2018,660108.06
World,2019,640078.6
World,2020,626071.44
World,2021,630601.1
World,2022,630741.7
