country,year,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp
World,1750,NA,753279296,NA,9.306,0.012,NA
World,1751,NA,NA,NA,9.407,NA,NA
World,1752,NA,NA,NA,9.505,NA,NA
World,1753,NA,NA,NA,9.61,NA,NA
World,1754,NA,NA,NA,9.734,NA,NA
World,1755,NA,NA,NA,9.793,NA,NA
World,1756,NA,NA,NA,9.91,NA,NA
World,1757,NA,NA,NA,10.094,NA,NA
World,1758,NA,NA,NA,10.216,NA,NA
World,1759,NA,NA,NA,10.339,NA,NA
World,1760,NA,788254976,NA,10.514,0.013,NA
World,1761,NA,NA,NA,10.748,NA,NA
World,1762,NA,NA,NA,10.952,NA,NA
World,1763,NA,NA,NA,11.192,NA,NA
World,1764,NA,NA,NA,11.397,NA,NA
World,1765,NA,NA,NA,11.643,NA,NA
World,1766,NA,NA,NA,11.876,NA,NA
World,1767,NA,NA,NA,12.153,NA,NA
World,1768,NA,NA,NA,12.467,NA,NA
World,1769,NA,NA,NA,12.78,NA,NA
World,1770,NA,827951488,NA,13.097,0.016,NA
World,1771,NA,NA,NA,13.369,NA,NA
World,1772,NA,NA,NA,13.624,NA,NA
World,1773,NA,NA,NA,13.808,NA,NA
World,1774,NA,NA,NA,14.012,NA,NA
World,1775,NA,NA,NA,14.339,NA,NA
World,1776,NA,NA,NA,14.654,NA,NA
World,1777,NA,NA,NA,14.96,NA,NA
World,1778,NA,NA,NA,15.243,NA,NA
World,1779,NA,NA,NA,15.535,NA,NA
World,1780,NA,900945152,NA,15.879,0.018,NA
World,1781,NA,NA,NA,16.234,NA,NA
World,1782,NA,NA,NA,16.581,NA,NA
World,1783,NA,NA,NA,17.063,NA,NA
World,1784,NA,NA,NA,17.471,NA,NA
World,1785,NA,NA,NA,17.965,NA,NA
World,1786,NA,NA,NA,18.447,NA,NA
World,1787,NA,NA,NA,18.859,NA,NA
World,1788,NA,NA,NA,19.286,NA,NA
World,1789,NA,NA,NA,19.863,NA,NA
World,1790,NA,942261696,NA,20.398,0.022,NA
World,1791,NA,NA,NA,20.932,NA,NA
World,1792,NA,NA,NA,21.929,NA,NA
World,1793,NA,NA,NA,22.297,NA,NA
World,1794,NA,NA,NA,22.52,NA,NA
World,1795,NA,NA,NA,22.315,NA,NA
World,1796,NA,NA,NA,22.121,NA,NA
World,1797,NA,NA,NA,22.09,NA,NA
World,1798,NA,NA,NA,23.106,NA,NA
World,1799,NA,NA,NA,27.485,NA,NA
World,1800,NA,954892352,NA,32.798,0.034,NA
World,1801,NA,NA,NA,31.986,NA,NA
World,1802,NA,NA,NA,40.31,NA,NA
World,1803,NA,NA,NA,29.539,NA,NA
World,1804,NA,NA,NA,31.769,NA,NA
World,1805,NA,NA,NA,31.252,NA,NA
World,1806,NA,NA,NA,32.705,NA,NA
World,1807,NA,NA,NA,36.201,NA,NA
World,1808,NA,NA,NA,35.498,NA,NA
World,1809,NA,NA,NA,36.334,NA,NA
World,1810,NA,1028932352,NA,39.492,0.038,NA
World,1811,NA,NA,NA,40.177,NA,NA
World,1812,NA,NA,NA,40.815,NA,NA
World,1813,NA,NA,NA,41.206,NA,NA
World,1814,NA,NA,NA,42.227,NA,NA
World,1815,NA,NA,NA,43.587,NA,NA
World,1816,NA,NA,NA,45.497,NA,NA
World,1817,NA,NA,NA,49.276,NA,NA
World,1818,NA,NA,NA,51.392,NA,NA
World,1819,NA,NA,NA,50.93,NA,NA
World,1820,NA,1065623616,1175113826304,50.733,0.048,0.043
World,1821,NA,NA,NA,52.059,NA,NA
World,1822,NA,NA,NA,54.022,NA,NA
World,1823,NA,NA,NA,56.358,NA,NA
World,1824,NA,NA,NA,57.584,NA,NA
World,1825,NA,NA,NA,60.731,NA,NA
World,1826,NA,NA,NA,61.382,NA,NA
World,1827,NA,NA,NA,65.739,NA,NA
World,1828,NA,NA,NA,66.682,NA,NA
World,1829,NA,NA,NA,66.307,NA,NA
World,1830,NA,1148205440,NA,88.988,0.078,NA
World,1831,NA,NA,NA,83.251,NA,NA
World,1832,NA,NA,NA,82.092,NA,NA
World,1833,NA,NA,NA,83.249,NA,NA
World,1834,NA,NA,NA,88.763,NA,NA
World,1835,NA,NA,NA,97.4,NA,NA
World,1836,NA,NA,NA,106.894,NA,NA
World,1837,NA,NA,NA,106.199,NA,NA
World,1838,NA,NA,NA,105.845,NA,NA
World,1839,NA,NA,NA,109.653,NA,NA
World,1840,NA,1209754496,NA,118.809,0.098,NA
World,1841,NA,NA,NA,122.166,NA,NA
World,1842,NA,NA,NA,129.389,NA,NA
World,1843,NA,NA,NA,132.369,NA,NA
World,1844,NA,NA,NA,141.966,NA,NA
World,1845,NA,NA,NA,155.073,NA,NA
World,1846,NA,NA,NA,157.702,NA,NA
World,1847,NA,NA,NA,170.797,NA,NA
World,1848,NA,NA,NA,173.643,NA,NA
World,1849,NA,NA,NA,185.048,NA,NA
World,1850,NA,1287033856,1546684465152,196.848,0.153,0.127
World,1851,NA,NA,NA,198.779,NA,NA
World,1852,NA,NA,NA,207.595,NA,NA
World,1853,NA,NA,NA,217.237,NA,NA
World,1854,NA,NA,NA,255.039,NA,NA
World,1855,NA,NA,NA,260.26,NA,NA
World,1856,NA,NA,NA,278.246,NA,NA
World,1857,NA,NA,NA,281.181,NA,NA
World,1858,NA,NA,NA,285.548,NA,NA
World,1859,NA,NA,NA,302.572,NA,NA
World,1860,NA,1346093952,NA,332.298,0.247,NA
World,1861,NA,NA,NA,349.19,NA,NA
World,1862,NA,NA,NA,355.991,NA,NA
World,1863,NA,NA,NA,379.535,NA,NA
World,1864,NA,NA,NA,409.525,NA,NA
World,1865,NA,NA,NA,434.851,NA,NA
World,1866,NA,NA,NA,449.067,NA,NA
World,1867,NA,NA,NA,480.814,NA,NA
World,1868,NA,NA,NA,494.494,NA,NA
World,1869,NA,NA,NA,524.731,NA,NA
World,1870,NA,1346763136,1963043061760,536.123,0.398,0.273
World,1871,NA,NA,NA,569.777,NA,NA
World,1872,NA,NA,NA,630.961,NA,NA
World,1873,NA,NA,NA,670.467,NA,NA
World,1874,NA,NA,NA,628.662,NA,NA
World,1875,NA,NA,NA,681.048,NA,NA
World,1876,NA,NA,NA,690.583,NA,NA
World,1877,NA,NA,NA,704.033,NA,NA
World,1878,NA,NA,NA,709.65,NA,NA
World,1879,NA,NA,NA,759.794,NA,NA
World,1880,NA,1427718912,NA,858.056,0.601,NA
World,1881,NA,NA,NA,887.965,NA,NA
World,1882,NA,NA,NA,937.888,NA,NA
World,1883,NA,NA,NA,997.515,NA,NA
World,1884,NA,NA,NA,1009.43,NA,NA
World,1885,NA,NA,NA,1017.145,NA,NA
World,1886,NA,NA,NA,1032.614,NA,NA
World,1887,NA,NA,NA,1083.728,NA,NA
World,1888,NA,NA,NA,1200.802,NA,NA
World,1889,NA,NA,NA,1201.516,NA,NA
World,1890,NA,1548405760,NA,1306.591,0.844,NA
World,1891,NA,NA,NA,1368.916,NA,NA
World,1892,NA,NA,NA,1379.809,NA,NA
