Entity,Code,Year,Coal production (TWh)
China,CHN,1900,0
China,CHN,1901,0
China,CHN,1902,0.2906337
China,CHN,1903,6.02193
China,CHN,1904,6.4113793
China,CHN,1905,7.0507736
China,CHN,1906,52.505886
China,CHN,1907,51.67467
China,CHN,1908,69.75209
China,CHN,1909,63.939415
China,CHN,1910,57.533848
China,CHN,1911,85.446304
China,CHN,1912,30.028275
China,CHN,1913,33.004364
China,CHN,1914,46.35026
China,CHN,1915,49.36704
China,CHN,1916,55.121586
China,CHN,1917,60.91101
China,CHN,1918,64.573
China,CHN,1919,74.43129
China,CHN,1920,82.13889
China,CHN,1921,77.5992
China,CHN,1922,81.7262
China,CHN,1923,98.658516
China,CHN,1924,107.67979
China,CHN,1925,101.94268
China,CHN,1926,90.77653
China,CHN,1927,102.84946
China,CHN,1928,104.51188
China,CHN,1929,109.592155
China,CHN,1930,115.62571
China,CHN,1931,122.606735
China,CHN,1932,117.49158
China,CHN,1933,128.31477
China,CHN,1934,149.97281
China,CHN,1935,174.92079
China,CHN,1936,196.4335
China,CHN,1937,182.4424
China,CHN,1938,167.10857
China,CHN,1939,201.63004
China,CHN,1940,257.6991
China,CHN,1941,322.15582
China,CHN,1942,339.30902
China,CHN,1943,293.30173
China,CHN,1944,296.6033
China,CHN,1945,152.78613
China,CHN,1946,94.990715
China,CHN,1947,101.94268
China,CHN,1948,72.19341
China,CHN,1949,180.1929
China,CHN,1950,249.47997
China,CHN,1951,308.59485
China,CHN,1952,386.48468
China,CHN,1953,405.02713
China,CHN,1954,486.2883
China,CHN,1955,571.38586
China,CHN,1956,641.4867
China,CHN,1957,759.89087
China,CHN,1958,1569.422
China,CHN,1959,2021.6481
China,CHN,1960,2441.323
China,CHN,1961,1453.1685
China,CHN,1962,1453.1685
China,CHN,1963,1453.1685
China,CHN,1964,1685.6754
China,CHN,1965,1737.9895
China,CHN,1966,1900.7444
China,CHN,1967,1319.477
China,CHN,1968,1743.8022
China,CHN,1969,1889.119
China,CHN,1970,2092.5627
China,CHN,1971,2266.9429
China,CHN,1972,2325.0696
China,CHN,1973,2499.4497
China,CHN,1974,2615.7034
China,CHN,1975,2731.9568
China,CHN,1976,2790.0835
China,CHN,1977,3063.2793
China,CHN,1978,3446.9158
China,CHN,1979,3545.7312
China,CHN,1980,4051.2837
China,CHN,1981,3614.604
China,CHN,1982,3874.5344
China,CHN,1983,4154.8174
China,CHN,1984,4589.1978
China,CHN,1985,5072.425
China,CHN,1986,5198.61
China,CHN,1987,5396.9014
China,CHN,1988,5698.1187
